hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,0,342,2015,July,27,1,0,0,Direct,PRT,0,Ernest.Barnes31@outlook.com
Resort Hotel,0,737,2015,July,27,1,0,0,Direct,PRT,0,Andrea_Baker94@aol.com
Resort Hotel,0,7,2015,July,27,1,0,1,Direct,GBR,75,Rebecca_Parker@comcast.net
Resort Hotel,0,13,2015,July,27,1,0,1,Corporate,GBR,75,Laura_M@gmail.com
Resort Hotel,0,14,2015,July,27,1,0,2,Online TA,GBR,98,LHines@verizon.com
Resort Hotel,0,14,2015,July,27,1,0,2,Online TA,GBR,98,JFletcher43@xfinity.com
Resort Hotel,0,0,2015,July,27,1,0,2,Direct,PRT,107,Rangel.Dylan@comcast.net
Resort Hotel,0,9,2015,July,27,1,0,2,Direct,PRT,103,Velez_William@mail.com
Resort Hotel,1,85,2015,July,27,1,0,3,Online TA,PRT,82,Steven.Murphy54@aol.com
Resort Hotel,1,75,2015,July,27,1,0,3,Offline TA/TO,PRT,105.5,MichaelMoore81@outlook.com
Resort Hotel,1,23,2015,July,27,1,0,4,Online TA,PRT,123,PhD.Priscilla74@att.com
Resort Hotel,0,35,2015,July,27,1,0,4,Online TA,PRT,145,Smith.Laurie@att.com
Resort Hotel,0,68,2015,July,27,1,0,4,Online TA,USA,97,Casey_T78@outlook.com
Resort Hotel,0,18,2015,July,27,1,0,4,Online TA,ESP,154.77,Rachel.F@protonmail.com
Resort Hotel,0,37,2015,July,27,1,0,4,Online TA,PRT,94.71,Edward.T@zoho.com
Resort Hotel,0,68,2015,July,27,1,0,4,Online TA,IRL,97,Zavala_Samuel46@xfinity.com
Resort Hotel,0,37,2015,July,27,1,0,4,Offline TA/TO,PRT,97.5,Dr.Martin@xfinity.com
Resort Hotel,0,12,2015,July,27,1,0,1,Online TA,IRL,88.2,Sara.L@hotmail.com
Resort Hotel,0,0,2015,July,27,1,0,1,Corporate,FRA,107.42,CRodriguez@verizon.com
Resort Hotel,0,7,2015,July,27,1,0,4,Direct,GBR,153,StephanieSchmidt@hotmail.com
Resort Hotel,0,37,2015,July,27,1,1,4,Online TA,GBR,97.29,John.Matthews@aol.com
Resort Hotel,0,72,2015,July,27,1,2,4,Direct,PRT,84.67,Robert.Chung47@yandex.com
Resort Hotel,0,72,2015,July,27,1,2,4,Direct,PRT,84.67,MGarcia16@comcast.net
Resort Hotel,0,72,2015,July,27,1,2,4,Direct,PRT,99.67,BrandonTaylor@hotmail.com
Resort Hotel,0,127,2015,July,27,1,2,5,Offline TA/TO,GBR,94.95,Angie_Sanchez@att.com
Resort Hotel,0,78,2015,July,27,1,2,5,Offline TA/TO,PRT,63.6,King_Alexis70@hotmail.com
Resort Hotel,0,48,2015,July,27,1,2,5,Offline TA/TO,IRL,79.5,MichaelDavidson82@att.com
Resort Hotel,1,60,2015,July,27,1,2,5,Online TA,PRT,107,JaimeFlynn29@gmail.com
Resort Hotel,0,77,2015,July,27,1,2,5,Online TA,PRT,94,Mrs..W61@yandex.com
Resort Hotel,0,99,2015,July,27,1,2,5,Online TA,PRT,87.3,Heather.H@xfinity.com
Resort Hotel,0,118,2015,July,27,1,4,10,Direct,,62,Wilson.Diamond@comcast.net
Resort Hotel,0,95,2015,July,27,1,4,11,Offline TA/TO,GBR,63.86,Williams_Paul@xfinity.com
Resort Hotel,1,96,2015,July,27,1,2,8,Direct,PRT,108.3,Reginald_C57@outlook.com
Resort Hotel,0,69,2015,July,27,2,2,4,Offline TA/TO,IRL,65.5,Willie_S@yahoo.com
Resort Hotel,1,45,2015,July,27,2,1,3,Online TA,PRT,108.8,Alex.B@zoho.com
Resort Hotel,1,40,2015,July,27,2,1,3,Online TA,PRT,108.8,Virginia.H@aol.com
